"T","Points:0","Points:1","Points:2"
1476,51562,1.2422e+05,0
1490.2,46875,1.2422e+05,0
1486.6,48047,1.2422e+05,0
1483.1,49219,1.2422e+05,0
1473,46875,1.2539e+05,0
1469,48047,1.2539e+05,0
1465,49219,1.2539e+05,0
1453.3,46875,1.2656e+05,0
1448.9,48047,1.2656e+05,0
1444.5,49219,1.2656e+05,0
1483.1,49219,1.2422e+05,0
1479.5,50391,1.2422e+05,0
1476,51562,1.2422e+05,0
1465,49219,1.2539e+05,0
1461,50391,1.2539e+05,0
1457.1,51562,1.2539e+05,0
1444.5,49219,1.2656e+05,0
1440.1,50391,1.2656e+05,0
1435.8,51562,1.2656e+05,0
1507,51562,1.2188e+05,0
1504.2,52734,1.2188e+05,0
1501.4,53906,1.2188e+05,0
1492.6,51562,1.2305e+05,0
1489.4,52734,1.2305e+05,0
1486.3,53906,1.2305e+05,0
1476,51562,1.2422e+05,0
1472.5,52734,1.2422e+05,0
1469,53906,1.2422e+05,0
1501.4,53906,1.2188e+05,0
1498.6,55078,1.2188e+05,0
1495.7,56250,1.2188e+05,0
1486.3,53906,1.2305e+05,0
1483.1,55078,1.2305e+05,0
1479.9,56250,1.2305e+05,0
1469,53906,1.2422e+05,0
1465.4,55078,1.2422e+05,0
1461.9,56250,1.2422e+05,0
1476,51562,1.2422e+05,0
1472.5,52734,1.2422e+05,0
1469,53906,1.2422e+05,0
1457.1,51562,1.2539e+05,0
1453.2,52734,1.2539e+05,0
1449.4,53906,1.2539e+05,0
1435.8,51562,1.2656e+05,0
1431.6,52734,1.2656e+05,0
1427.3,53906,1.2656e+05,0
1469,53906,1.2422e+05,0
1465.4,55078,1.2422e+05,0
1461.9,56250,1.2422e+05,0
1449.4,53906,1.2539e+05,0
1445.5,55078,1.2539e+05,0
1441.7,56250,1.2539e+05,0
1427.3,53906,1.2656e+05,0
1423.1,55078,1.2656e+05,0
